Defaulted container "hyrax-worker" out of: hyrax-worker, service-wait (init)
=== Bulkrax Imports Cleanup ===
DRY_RUN: false
Started: Thu May 28 19:30:21 UTC 2026

DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_61/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_63/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_97/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_35_20250129154427_99/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_104/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_105/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_106/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_107/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_108/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_109/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_110/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_111/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_112/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_115/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_116/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_117/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_118/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_119/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_120/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_121/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_133/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_139/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_144/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_147/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_151/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_169/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_177/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_183/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_191/ (202.5 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_68_20250203143153_195/ (202.5 KB, 479d old)
